KEY,location1Key,location2Key,name
Path(5029777865965568),Location(5576360370110464),Location(6611465540730880),Winding River - Winding River
Path(5029818014892032),Location(6098789539512320),Location(5823413080817664),Hallway to Dead End
Path(5029998977613824),Location(6175040815497216),Location(6519992925814784),Northern Waterfall - Glowworm Cavern Passage
Path(5031354071777280),Location(6343937617821696),Location(6646234595983360),"Armory, Portal Room"
Path(5032046013972480),Location(5298958266531840),Location(6177538387214336),Someone's Room
Path(5032642032435200),Location(5791764549992448),Location(6171154488229888),Wastes - Tribal1
Path(5038820134223872),Location(6236159440060416),Location(5857622832971776),City Outskirts - Sandy Desert Pass
Path(5044238924644352),Location(5546617318932480),Location(4924288943783936),Volantis to Script Arena
Path(5047284255686656),Location(5736887291740160),Location(5233808159014912),yondir -> logging camp
Path(5049361375428608),Location(5437646551646208),Location(4767886398717952),Aseridith Fort Tower 1 - Aseridith Fort Tower 2
Path(5054656416841728),Location(5331082323951616),Location(4732909075300352),"Strange Empty Room 5, Strange Empty Room 4"
Path(5060138025353216),Location(6078605499301888),Location(5330831291973632),NHub - NTest3
Path(5060663179214848),Location(4736790432841728),Location(6174236932571136),Aseridith Fort North Beach - Aseridith Fort West Beach
Path(5063754311532544),Location(4866261078507520),Location(5855652429168640),AC Interior to Stairwell
Path(5064313563774976),Location(6132749391888384),Location(4525514647666688),North Cemetery to Crypt
Path(5064678230196224),Location(5549152453787648),Location(6166816767344640),Smoldering Mountain - Smoldering Mountain Ascent
Path(5066577749737472),Location(5369435355348992),Location(4675290055835648),Lizardfolk Marshland1 - Lizardfolk Marshland2
Path(5072328753152000),Location(6652664385634304),Location(4516845742194688),Tainted Jungle - Desolate Wasteland
Path(5077314276163584),Location(5813783324262400),Location(5354999749541888),Winding Marsh 1 to Winding Marsh 2
Path(5078456757125120),Location(6265620614348800),Location(6237487269150720),TESTING ROOM to Second Chamber
Path(5079795695616000),Location(6739180469616640),Location(6439113737109504),Deep Emerald Jungle2 to Emerald Spring
Path(5081696196100096),Location(5998194032902144),Location(5066064931061760),Sirian Guardtower - Sirian Guardtower 2
Path(5082310334480384),Location(5227696990715904),null,A Wary Path
Path(5083624099545088),null,Location(4979321355632640),Sirian Inner Courtyard - Sirian Keep Gates
Path(5083793020944384),Location(5935058894454784),Location(6092789555134464),Road - Gates
Path(5084443187347456),Location(6047192050565120),Location(6004484656332800),Path to Combat site: Orc Prince
Path(5084972138627072),Location(5911244389482496),Location(5032945924702208),Massive Cavern - Tranquil Chamber
Path(5087164895854592),Location(5451246088486912),Location(6745986798977024),Developer Den - Testing Chamber 03
Path(5088471321935872),Location(5755749009457152),Location(6215675825094656),Execution Chamber - Aseridith Keep Hallway
Path(5088549730779136),Location(5664073469394944),Location(5755749009457152),Aseridith Keep Hallway - Aseridith Keep Grand Hall
Path(5090401581268992),Location(6192307049332736),Location(5911244389482496),Hidden Staircase - Massive Cavern
Path(5091574862053376),Location(6730044487499776),Location(5512146850938880),Ferry3 - Ferry2
Path(5092589171113984),Location(6716823511760896),Location(6745986798977024),Developer Den - Testing Chamber 04
Path(5094255455895552),Location(5051742795857920),Location(6729726053318656),Gulchtop Overlook - Gulchtop Fortifications
Path(5101123515973632),Location(6285907986481152),Location(5755749009457152),Aseridith Keep Hallway - Aseridith Keep Dungeon
Path(5101540018749440),Location(5965446383665152),Location(5715039564595200),Secret Passageway - Secret Passageway 3
Path(5101660923756544),Location(4809500160688128),Location(5365099076255744),Keep Hallway - Keep Grand Hall
Path(5102018746384384),Location(4773937385308160),Location(4522881598095360),MGO's Test Area - MGO's Weapon Roll Testing Room
Path(5102730610737152),Location(4729741960544256),Location(6650836260225024),Path to Russ Gym
Path(5103575340679168),Location(4895417871630336),Location(6048977367859200),Debuff Instance End 5 - 6
Path(5105010682101760),Location(6565922299445248),Location(6227591015432192),Secluded Waterfall - Crystal Cave Pool
Path(5105053003677696),Location(6722752167280640),Location(5469661702914048),Drub'Lak Chieftain's Tent - Goliath Gulch River
Path(5107503655813120),Location(4891495303741440),Location(5124605528768512),Artius Lane - Atlas Entrance
Path(5109004636520448),Location(6024513825538048),Location(6130757089361920),Pit Three Hallway to Hub
Path(5109913080037376),Location(5503932574466048),Location(6568072999075840),Forsaken Ruins Entrance - Forsaken Ruins
Path(5111225516294144),Location(5815605253111808),Location(4924288943783936),Script Arena Reward Room #1 - Script Arena Entrance
Path(5113196770754560),Location(5855928267046912),Location(4993608020131840),Tun to Feed
Path(5113331555762176),Location(4538703854698496),Location(4948836791353344),Dense Jungle - Dense Jungle
Path(5115479379410944),Location(6074912527876096),Location(6461666749579264),Debuff Instance End 10 - 11
Path(5117067357323264),Location(4567038813011968),Location(5483341094584320),wastes 3-4
Path(5117769267806208),Location(5691920898588672),Location(4887533922025472),Tunnel Climb - Tunnel Climb
Path(5120568458215424),Location(4957528278433792),Location(5323424058572800),Misty Goblin Camp Tent
Path(5121140593786880),Location(4794925902200832),Location(6211039030935552),Aseridith Fort Outer Eastern Walls - Aseridith Fort Gates
Path(5126347322032128),Location(6498136254054400),Location(6652458455531520),Aseridith Fort Warehouse 1 - Aseridith Fort Warehouse 2
Path(5126647414259712),Location(4939142698106880),Location(5978911666339840),Great Goblin Fortress of Xaruk - Fortress Entrance
Path(5129806829060096),Location(5120374762110976),Location(4611092757086208),"Second Floor Staircase, Potions Laboratory"
Path(5140093795041280),Location(6271322019856384),Location(5027687722909696),Learning Grounds - Learning Glacier
Path(5140871142178816),Location(6366052439293952),Location(6278529125974016),Glacial Temple: Eternal Hallway - Core Chamber
Path(5141295400222720),Location(5412534060580864),Location(5557842132336640),Xaruk Forest 1 - Xaruk Forest 2
Path(5142699170856960),Location(6688516218290176),Location(5837588237910016),Script Town to Script Rest Stop
Path(5145184839925760),Location(4722354780372992),Location(5498766890106880),Lost sea 4
Path(5145900280184832),Location(5200647423000576),Location(5897906640912384),Troll Cave Entrance - Troll Cave(1)
Path(5146232300240896),Location(5331082323951616),Location(6437722859241472),"Strange Empty Room 5, Strange Empty Room 3"
Path(5146290748915712),Location(5232868968103936),Location(6563390277287936),Castle Grounds-Castle Courtyard
Path(5148113771167744),Location(4933975157506048),Location(5291874446737408),Mausoleum of Gol'Shlanek 1 - Mausoleum of Gol'Shlanek 2
Path(5148128505233408),Location(4692368319053824),Location(5549152453787648),Mount to smold
Path(5152995981656064),Location(4773937385308160),Location(4754470663880704),MGO's Test Area - MGO's Mob Testing Room
Path(5154251048747008),Location(6662145816657920),Location(6533289986228224),Goliath Gulch - Goliath Gulch Fork
Path(5157432487051264),Location(5505750257893376),Location(6436691348291584),Hilgadas Castle North - Cliff-side Trail
Path(5159002897907712),Location(6174236932571136),Location(4844226355396608),Aseridith Island Docks - Aseridith Fort North Beach
Path(5160008079638528),Location(5755749009457152),Location(6356537624756224),Aseridith Keep Gates - Aseridith Keep Hallway
Path(5160052881096704),Location(6303104471400448),Location(4550381602340864),Old Mine to Old Mine South
Path(5162159953149952),Location(5145738682564608),Location(6317989675139072),Sea Cave - Underground Sea
Path(5165380116938752),Location(6495208090894336),Location(5687441444831232),Eridis Forest - Eridis Climb
Path(5168501026193408),Location(5157211167784960),Location(6507841346076672),Narrow Stairway - Long Passage
Path(5169022889099264),Location(4649706850615296),Location(5003031899013120),Lost Temple - Temple Entrance
Path(5169531471265792),Location(5147963085029376),Location(5694096832200704),Winding River
Path(5173620888567808),Location(6254263248617472),Script(5580004989861888),Debuff Instance End 9 - End 10
Path(5174546902024192),Location(4949919769296896),Location(4931718721306624),Broken Stone Structure - West Kyprite Ruins
Path(5176347266646016),Location(5006184487583744),null,Basement
Path(5178461901553664),Location(5529902163951616),Location(6319283330088960),Grand Forest 1 - Grand Forest 2
Path(5178599057653760),Location(5843284484161536),Location(5399087797239808),Taelhollow Hut - Professor Grenolio
Path(5179166660231168),Location(5191466372825088),Location(5656451226009600),Steep Mountain Path - Lookout Point
Path(5179701860499456),Location(4884350649761792),Location(5735665915396096),Tutorial 4 - Tutorial 5
Path(5179734311305216),Location(5940601584353280),Location(5705433757515776),null
Path(5180123136917504),Location(4891959017078784),Location(4532035590291456),NHall - Emerald Forest
Path(5180209632378880),Location(5179062473457664),Location(6607074943303680),Sand-Swept Plains - Kujir Marsh Entrance
Path(5181519729000448),Location(5747008444301312),Location(4526915240591360),Drub'Lak Tribe Ogre Camp - Drub'Lak General's Quarters
Path(5187996030599168),Location(6653464683741184),Location(5560262966902784),Winding River - Shadowy Steppe
Path(5188539144732672),Location(5344615680966656),Location(5390229466775552),Sirian Outer Courtyard - Sirian Marketplace
Path(5189636481613824),Location(5634233376702464),Location(5262537041903616),Kujir Marsh2 - Kujir Marsh4
Path(5190550151495680),Location(4855686986465280),Location(6207620016242688),Crumbling Gate - Ruined Stairway
Path(5191232189890560),Location(5155868502917120),Location(5520593770250240),Path To Hell
Path(5191279907438592),Location(5175898320928768),Location(4692368319053824),cin plain to moun
Path(5192799056035840),Location(5091279719366656),Location(5157551064743936),Aseridith Keep Kitchen Storage - Aseridith Keep Kitchen
Path(5193795407183872),Location(6415851780046848),Location(5968272768368640),Tunnel Fork - Damp Tunnel
Path(5194997876129792),Location(6056276392148992),Location(5010032827826176),Submerged Gate -> Sunken Ruins
Path(5199155941343232),Location(4754026470309888),Location(5724726391734272),Hallway 4A to Arena Pit 5A
Path(5199760374104064),Location(5854320235118592),Location(4905123335897088),Xaruk Forest 7 - Xaruk
Path(5200731928002560),Location(4543352051859456),Location(5483169413595136),Cathedral of Destruction - Rest Area
Path(5202383994355712),Location(5112563276185600),Location(5953545588703232),South Kyprite Ruins - Derelict Kyprite Library
Path(5208042315448320),Location(5331082323951616),Location(6644088722948096),"Strange Empty Room 5, Strange Empty Room 1"
Path(5210249575792640),Location(5397220776476672),Location(6177538387214336),Someone's Room
Path(5219279638102016),Location(5312945761288192),Location(5175898320928768),Des to cin
Path(5220306513297408),Location(5005013727838208),Location(6202368401604608),Gloom- Coast 1
Path(5228719246409728),Location(5965801278406656),Location(5626024659255296),Secret Ceve
Path(5229724993323008),Location(4765507982983168),Location(5649391675244544),Aera Countryside - Troll Camp
Path(5230048050151424),Location(4942150822264832),Location(5444270617001984),"Fourth Floor Landing, Third Floor Staircase"
Path(5232865453539328),Location(6727923705053184),Location(5123362846408704),Pit One Hallway to Pit One
Path(5235110463143936),Location(4793116924051456),Location(6451896701419520),Misty Mountain Pass - Frosty's Domain
Path(5235831318511616),Location(4667447694589952),Location(6068531256360960),Winding Marsh 4 to Winding Marsh 5
Path(5235917325336576),Location(6161360358473728),Location(5356285457334272),Dark Room to South
Path(5238694141231104),Location(6293969749147648),Location(5442810276741120),Desert Bluff - Danger Desert
Path(5239957899182080),Location(5374351720841216),Location(5178624356909056),Darkwood B7 - Darkwood B8
Path(5240130873065472),Location(6048977367859200),Script(5580004989861888),Debuff Instance End 6 - End 7
Path(5242654508974080),Location(4898631959183360),Location(6646234595983360),"Tower Entrance, Portal Room Claw Portal"
Path(5242961389420544),Location(5125020728688640),Location(6519881741631488),Misty Cave Entrance - Excavated Wall
Path(5246644077723648),Location(5609234612092928),Location(5780588036620288),Derelict Church -> Sealed Door
Path(5250733764509696),Location(5332609262944256),Location(5855864457527296),Aphelion Shrine Sanctum - Aphelion Shrine inner Sanctum
Path(5250755365175296),Location(5505750257893376),Location(5501933642579968),Hilgadas Castle North - North Bridge
Path(5253365848342528),Location(6688516218290176),Location(5331407216050176),Script Town to Combatant Spawn
Path(5253749385199616),Location(4680955232518144),Location(5976852092420096),Winding Marsh 7 to Boggart Shrine
Path(5254530341011456),Location(5942116728438784),Location(5286485966192640),Death Valley - Oasis
Path(5254774019588096),Location(6633339873132544),Location(5345871483895808),"First Floor Staircase, Apprentice Training Room"
Path(5259202696314880),Location(5760946882740224),Location(4939142698106880),Sacred Burial Chamber - Great Goblin Fortress of Xaruk
Path(5260299615600640),Location(5757649010294784),Location(5576958964400128),Hills-Plains
Path(5262547350454272),Location(5192139767021568),Location(5528694259974144),Tutorial 7 - Tutorial 8
Path(5262943755436032),Location(4550204267429888),Location(6475440403513344),Chapel Combat Room - Shrine of Papa's Spirit
Path(5263159512268800),Location(6145774217854976),Location(5582269139910656),Austere - Gilded
Path(5263999322554368),Location(5532894400872448),Location(6057435877343232),Reward Room #5 - Volantis Arena
Path(5273659868446720),Location(4794925902200832),Location(6401380170334208),Aseridith Fort Outer Western Walls - Aseridith Fort Gates
Path(5274062925856768),Location(4589389035864064),Location(6624413564272640),Arena pit - Arena Hallway #4
Path(5281642046816256),Location(5077011949158400),Location(4874125034127360),Drow Entrydoor - Underdark Ledge
Path(5283986647810048),Location(5004340018544640),Location(6318243394617344),Descent - Bloodletting Chamber
Path(5284125997268992),Location(5433480876130304),Location(6519823672803328),The Depth - Deep Sea
Path(5285785033244672),Location(4796640334708736),Location(4860057271664640),Debuff Instance Swamp Outskirts - Swamp
Path(5286275343974400),Location(5984081901780992),Location(4714951546503168),Passage to Dark Tunnel
Path(5286621509582848),Location(4765507982983168),Location(4800814537506816),Troll Camp - Troll Tent
Path(5287861436022784),Location(4654774264004608),Location(5165953088749568),Headquarters of the Second Wave - Twilight Vault
Path(5288699164098560),Location(5851649117519872),Location(5709056673054720),Eridis Forest - Bushy Path
Path(5291517781475328),Location(5266047742509056),Location(5825398154723328),Stadium to arena
Path(5293655031021568),Location(5610315319345152),Location(4809820019359744),Spiralling Stairway - Wide Hall Stairway
Path(5297271407116288),Location(6015068596600832),Location(6553688768249856),Selene Plateau - Umbra Abode
Path(5297976193056768),Location(5723273719709696),Location(6200083758710784),Lagoon's Descent - Shallow Pool
Path(5298378094149632),Location(4579063346757632),Location(5052322102116352),"Grand Mage's Quarters, Strange Empty Room 7"
Path(5300637190848512),Location(5656414564909056),Location(4639225850363904),Aphelion Shrine Repository - Aphelion Shrine Archives
Path(5301242613465088),Location(5287122461786112),Location(4999024957980672),Gor'Grub Tribe Inner Camp - Gor'Grub Chieftain's Tent 1
Path(5301445911379968),Location(6519651913170944),Location(6052839970832384),Crystal Lake - Hilgadas Castle East
Path(5303732275249152),Location(6652731058028544),Location(4948836791353344),Dense Jungle - Dense Jungle
Path(5310272946307072),Location(4803555187752960),Location(5325379218702336),Sirian Knight's Quarters - Sirian Knight's Armory
Path(5311420047032320),Location(5462629907169280),Location(6177538387214336),Someone's Room
Path(5312627403653120),Location(6475699447136256),Location(5193139333103616),Darkwood 9 - Gram River
Path(5317099771920384),Location(5003031899013120),Location(6108023267524608),Deep Jungle 2 - Lost Temple
Path(5321578908745728),Location(6015068596600832),Location(4607732636188672),Selene Plateau - Perigee Peak
Path(5322096832151552),Location(4558639283306496),Location(4965532942204928),Test House one - Test House two
Path(5323731462782976),Location(5532894400872448),Location(5268847954755584),Reward Room #2 - Volatnis Arena
Path(5324172869763072),Location(6437181298049024),Location(5552716535300096),Keep Hallway 3 - Keep Hallway 4
Path(5324508237922304),Location(5529902163951616),Location(5260096210731008),Grand Forest 1 - Clear Overlook
Path(5324607436357632),Location(6571276102533120),Location(5966873809125376),"East Library, Common Area"
Path(5325040023240704),Location(5379125472657408),Location(5473101529743360),Old Mine 4 - North to Old Mine 4 - North 2
Path(5325630349508608),Location(5570836760100864),Location(4590542854815744),Rolling Dunes 1 - Rolling Dunes 2
Path(5326411619631104),Location(4744890697383936),Location(4939142698106880),Secret Tunnel - Great Goblin Fortress of Xaruk
Path(5327816304885760),Location(5738689586528256),Location(6071858521178112),Tunnel Construction - Tunnel Collapse
Path(5327878649020416),Location(6074901505507328),Location(6522286975221760),Vault Entrance - Drow Vault
Path(5330836352139264),Location(4767886398717952),Location(5471573840494592),Aseridith Fort Inner Gate - Aseridith Fort Tower 1
Path(5330925249888256),Location(5305647756738560),Location(5195262802264064),The Drop to Mineshaft 1
Path(5332609905197056),Location(4688520931180544),Location(5390229466775552),Sirian Outer Courtyard - Sirian Outer Courtyard 2
Path(5334655722586112),Location(6725892702732288),Location(5005013727838208),Hidden  - Gloomy
Path(5336101682413568),Location(5946849521565696),Location(5834160988225536),Script Arena Pit #5 - Script Arena Reward Hallway #5
Path(5339805420617728),Location(5346483960545280),Location(6099185837539328),Script Arena Hallway #3 - Script Arena Pit #3
Path(5339965760733184),Location(6730589667852288),Location(5968272768368640),Tunnel Fork - Obsidian Passageway
Path(5341938317262848),Location(5175898320928768),Location(6415179777572864),Plain to lake
Path(5342375519977472),Location(6206475493965824),Location(6719807435046912),Aseridith Fort East Beach - Aseridith Fort South Beach
Path(5342624107986944),Location(6516680261894144),Location(5411322747420672),VampDoor
Path(5342765146701824),Location(6041514953146368),Location(5563011707174912),shore to forest
Path(5344071096205312),Location(6264460408258560),Location(6543544094818304),Boat 2 - Boat 3
Path(5348001186840576),Location(4948836791353344),Location(5319127061233664),Dense Jungle - Dense Jungle
Path(5349359084896256),Location(6317536905789440),Location(6498136254054400),Aseridith Fort Warehouse 2 - Aseridith Fort Secret Passage 1 (2 of 2)
Path(5349510444220416),Location(5098477256179712),Location(5954978829041664),Give Me the Key
Path(5351245526073344),Location(6255055358394368),Location(6673370652344320),Nomad Conclave 2 - Nomad Camp Commons
Path(5351800237457408),Location(4800583262273536),Location(5633275214168064),Storage to Keep
Path(5352689439342592),Location(5172874862133248),Location(5600247461969920),Sirian Outer Gate - Sirian Outer West Wall
Path(5352822522511360),Location(4834678305456128),Location(5704313116557312),High Road Lake - High Road: Forest Lookout
Path(5354747532935168),Location(6139491171434496),Location(5806063024603136),Fort Black Escape Route
Path(5354894815133696),Location(5985957178507264),Script(5580004989861888),Debuff Instance Kayoak Marsh - Flooded Marsh
Path(5356859223441408),Location(6652458455531520),Location(5943675035058176),Aseridith Fort Marketplace - Aseridith Fort Warehouse 1
Path(5356968804876288),Location(4579063346757632),Location(5444270617001984),"Grand Mage's Quarters, Third Floor Staircase"
Path(5357293726334976),Location(4714608241934336),Location(5227257375490048),Underwater Grotto -> Mystic cave
Path(5358768628170752),Location(4754026470309888),Location(6280794557644800),Hallway Four to Reward Room
Path(5359272668954624),Location(5077797692243968),Location(5037373275504640),Burial Hall - Long Hallway
Path(5359521307295744),Location(4809820019359744),Location(5115504887857152),Spiralling Stairway - Spiralling Stairway
Path(5360082902056960),Location(6149655664001024),Location(4910863291252736),Bandit's Common Room - Bandit Armory
Path(5360502947708928),Location(6373434477248512),Location(5174341147033600),Xaruk Forest 4 - Xaruk Forest 5
Path(5361180182315008),Location(5822583015997440),Location(6486746360971264),Mausoleum of Gol'Shlanek 5 to Tomb of Gol'Shlanek 1
Path(5362167264051200),Location(5369435355348992),Location(6608541406199808),Kujir Marsh5 - Lizardfolk Marshland2
Path(5362671003107328),Location(5052322102116352),Location(5423123405996032),"Strange Empty Room 7, Strange Empty Room 6"
Path(5364563995787264),Location(6725062958776320),Location(6725892702732288),Fleet HQ - Hidden Passage
Path(5368791690641408),Location(6601784795070464),Location(5740053025783808),Dungeon Passageway - Aseridith Prison Cells
Path(5368924559376384),Location(4597336033460224),Location(6319154247237632),Rolling Dunes 7 - Serpent Pit
Path(5370718611046400),Location(5381878680911872),Location(4696875286396928),Old Mine 8 to Old Mine 9
Path(5370971569520640),Location(6166964233830400),Location(4550381602340864),Old Mine Entrance - Old Mine
Path(5371031962255360),Location(6437722859241472),Location(6644088722948096),"Strange Empty Room 3, Strange Empty Room 1"
Path(5371688510554112),Location(6274138448855040),Location(5433480876130304),Deep sea -> underwater cave
Path(5372319427985408),Location(6399981554499584),Location(4809336524111872),Sand Worm Cell
Path(5372814808842240),Location(4792555382243328),Location(6306125748109312),Spargus - Wastelander's Rest Stop
Path(5373645878722560),Location(5954978829041664),Location(5922422976937984),Marcus Sent Me
Path(5378206304043008),Location(6298913263321088),Location(4557967676932096),Maelstrom - Fisherman's Ferry 3
Path(5378943515623424),Location(5186966480224256),Location(4579063346757632),archmage quarters - Hidden Room #2
Path(5381765237571584),Location(5328988679438336),Location(4887533922025472),Tunnel Climb - Tunnel Climb
Path(5382590160961536),Location(6130757089361920),Location(6674999641636864),Arena Pit Three to Hub
Path(5382690413215744),Location(6373434477248512),Location(6258957962444800),Xaruk Forest 4 - Xaruk Forest 6
Path(5382996147830784),Location(6693763795124224),Location(6079158806904832),Darkwood 4 - Darkwood 5
Path(5383309131776000),Location(5760946882740224),Location(4744890697383936),Sacred Burial Chamber - Secret Tunnel
Path(5386143655002112),Location(4860057271664640),Location(5985957178507264),Debuff Instance Toxic Swamp - Kayoak Marsh
Path(5386207538184192),Location(4966011023392768),Location(4852836756094976),Alderai Coast2 - Alderai Coast3
Path(5387912141340672),Location(5544079970795520),Location(4814153097412608),Script Arena Pit #4 - Script Arena Reward Hallway #4
Path(5389060373741568),Location(6616739106258944),Location(6527010146877440),Behemoth Boss
Path(5389736042561536),Location(6652731058028544),Location(5710106524123136),Dense Jungle - Dense Jungle
Path(5390180385030144),Location(4809336524111872),Location(5721210795065344),Base - Basement
Path(5392922033782784),Location(5202013858037760),Location(5039895955374080),Cliffside Path
Path(5394800479567872),Location(5055024392044544),Location(5857214291509248),Darkwood B4 - Darkwood B1
Path(5398369946042368),Location(6708023485530112),Location(5027432209842176),Dense Forest - High Road: Dense Forest
Path(5398765569572864),Location(5757649010294784),Location(4662743332290560),North West Hills - The Fork
Path(5402416993796096),Location(5519781135908864),Location(4575050063151104),Path to Sparring Room
Path(5406655745884160),Location(5581690158710784),Location(6177538387214336),Someone's Room
Path(5407242637541376),Location(5933810929631232),Location(5344615680966656),Sirian Marketplace - Sirian Outer Unmarked House
Path(5408550284165120),Location(5528694259974144),Location(5629499534213120),Tutorial 8 - Aera
Path(5408740838735872),null,Location(6304876738904064),Ruins - Center
Path(5410476020465664),Location(5544079970795520),Location(4505927319552000),Script Arena Pit #4 - Script Arena Hallway #5
Path(5414216362098688),Location(6713268504625152),Location(4550381602340864),Old Mine to Old Mine 2
Path(5415510049292288),Location(6688516218290176),Location(6293631388614656),Script Playground - Raid Boss Test
Path(5416374418538496),Location(5777231648391168),Location(5570836760100864),Rolling Dunes 2 - Rolling Dunes 3
Path(5418608575905792),Location(5795209352314880),Location(6153253135319040),Path to Upstairs
Path(5418806877093888),Location(5796310611656704),Location(6519823672803328),The Depths -> Coral Reef
Path(5419321941819392),Location(5107539561938944),Location(6096234356146176),Debuff Instance Entryway - Lake Shore
Path(5421159386972160),Location(6206475493965824),Location(4736790432841728),Aseridith Fort West Beach - Aseridith Fort South Beach
Path(5421432443502592),Location(6207620016242688),Location(6275924844085248),Emerald Jungle3 - Crumbling Gate
Path(5422928170844160),Location(5244214447439872),Location(4895417871630336),Debuff Instance End 4 - 5
Path(5423497014149120),Location(5210032509026304),Location(6181057908441088),Underwater Passage #2 - The Depths
Path(5423619450863616),Location(5671021646708736),Location(4921068011913216),Kamil Cave -> Right Passage
Path(5425177151668224),Location(5414272397475840),Location(5855652429168640),AC Interior to Servants Wing
Path(5425651547897856),Location(6259323893186560),Location(5840939502272512),Rolling Dunes 4 - Calm Cave
Path(5425910620880896),Location(4980129958985728),Location(5004340018544640),Bloodletting Chamber - Guardian
Path(5435058281250816),Location(5443293981704192),Location(5840939502272512),Rolling Dunes 4 - Rolling Dunes 5
Path(5436870706331648),Location(6367151093186560),Location(4643429219041280),A Sense of Dread - Instance
Path(5440241450614784),Location(5305092788453376),Location(4848497063362560),Enchanted Forest - Forest Clearing
Path(5440411149795328),Location(5656451226009600),Location(5412534060580864),Lookout Point - Xaruk Forest 1
Path(5442017608335360),Location(6226431107923968),Location(6447747551461376),Mine Cart Start - Mine Cart 2
Path(5445102503723008),Location(6010500529782784),Location(5437912854298624),High Road - High Road Swamps
Path(5445496747327488),Location(5328988679438336),Location(5988277165228032),Tunnel Climb - Tunnel Climb
Path(5446295125229568),Location(6483610526285824),Location(4542490997161984),Northern Crags - Glacial Temple
Path(5447240881799168),Location(4835557142429696),Location(5468411513798656),Leniex Valley -> Leniex Mountain
Path(5447301608243200),Location(6167875989012480),Location(6014266919878656),Forest - Coast 2
Path(5450413938573312),Location(5337106695061504),Location(6645239480582144),Hideout - Training Grounds
Path(5453960697872384),Location(5978911666339840),Location(5266136275091456),Fortress Entrance - Guard Tower
Path(5456874340089856),Location(6171154488229888),Location(4851296928530432),Wastes 2 - Special
Path(5458058616766464),Location(6021008570187776),Location(5629499534213120),Path to house - Chapel of Papa
Path(5460795455963136),Location(6519881741631488),Location(4612151846633472),Fuck keys
Path(5462582760833024),Location(4561959525810176),Location(5994107512291328),Ysmar Mountain - Assassin Maze
Path(5466356294090752),Location(5582269139910656),Location(5092570659028992),Passage - Trident
Path(5472135664369664),Location(6073730381905920),Location(5629499534213120),Tutorial 1 - Aera
Path(5473111975657472),Location(6282071481778176),Location(5471573840494592),Aseridith Fort Inner Gate - Aseridith Fort Inner Eastern Wall
Path(5473485455622144),Location(4619891441401856),Location(5164584575172608),Misty Forest -. Magical Forest
Path(5474058208542720),Location(5402915028074496),Location(5807021387415552),Old Mine 3 to Old Mine 4
Path(5474061980270592),Location(5170447580659712),Location(4584406296559616),Path to house - The Cabin
Path(5475074062680064),Location(5066064931061760),Location(5644261414404096),Sirian Inner Gate - Sirian Guardtower
Path(5475141208768512),Location(5330476979453952),Location(5654313976201216),Deset to Meteor Impact Site
Path(5477477061492736),Location(4636341170339840),Location(6002547550846976),NHallway2 - NReward
Path(5478570432659456),Location(5313663930204160),Location(6126263647600640),Arena Pit Two to Reward Room
Path(5480657020518400),Location(6748028989341696),Location(6516437776072704),Mineshaft 6 to Cavern Entryway
Path(5481744760832000),Location(4946848728481792),Location(6475699447136256),Darkwood 8 - Darkwood 9
Path(5484393747709952),Location(5446760539619328),Location(5711866590658560),Troll General's Quarters - Troll General
Path(5485358456766464),Location(5723021814267904),Location(4889410303164416),Rough Tunnel - Marble Entryway
Path(5491371830149120),Location(4505927319552000),Location(5946849521565696),Script Arena Hallway #5 - Script Arena Pit #5
Path(5494402519662592),Location(5343021269778432),Location(5563011707174912),"Tower Entrance, Emerald Isle Shores"
Path(5496651283169280),Location(5185517074251776),Location(6729289851469824),Nomad Camp Perimeter - Nomad Conclave 1
Path(5498112577634304),Location(5830034763808768),Location(5437646551646208),Aseridith Fort Tower 2 - Aseridith Fort Sorcerers' Quarters
Path(5501954333605888),Location(5760751882993664),Location(4749318969884672),Savannah - Abandonded Tribal Camp
Path(5502313118040064),Location(6641283818323968),Location(4902833796677632),Rocky Hill 1 - Rocky Hill 2
Path(5503200876036096),Location(6333156464001024),Location(6149655664001024),Luxurious chambers - Bandit Fort Armory
Path(5505442482487296),Location(5165326169800704),Location(4701732827299840),Nors Mountain - Nors Mountain Shrine
Path(5508139621548032),Location(6180064303775744),Location(6448560694624256),Black Vanguard Camp - Black Vanguard Camp Interior
Path(5511741540663296),Location(5765730068856832),Location(5721210795065344),Barracks
Path(5514754030567424),Location(4720648400404480),Location(6081417385869312),Arena Pit 1A to Hallway 1A
Path(5516287317114880),Location(5742678433071104),Location(6148643405168640),Test me bby one more time
Path(5516793590841344),Location(4979362051391488),Location(6135225797574656),Icy Crevice - Subterranean Beach
Path(5516810405543936),Location(5071777772601344),Location(6081417385869312),Hallway to Arena Pit One
Path(5524801745059840),Location(5428489900523520),Location(5816308691632128),Larvae pit- Queens chambers
Path(5525445542936576),Location(6128325270437888),Location(5343021269778432),"Dark Corridor, Tower Entrance"
Path(5525495057743872),Location(6687666936479744),Location(5411322747420672),VampBlood
Path(5526343932444672),Location(6607074943303680),Location(4701732827299840),Nors Mountain - Sand-Swept Plains
Path(5526968363646976),Location(5654313976201216),Location(4752576599818240),Desert - Cliffside Lookout
Path(5530233293766656),Location(5581553321115648),Location(4553554777866240),Nortion Hills - Orc Outpost
Path(5531727355183104),Location(4615707669037056),Location(6530427779022848),"Rocky Path, Mountain Plains"
